input,subject,,,relation,object
Datalog相关工具总结如表6-3所示。,Datalog相关工具,,,包含,Datalog相关工具总结
表6-3Datalog相关工具总结RDFox是由牛津大学开发的可扩展、跨平台、基于内存的RDF三元组存储系统。,RDFox,,,属于,RDF三元组存储系统
其最主要的特点是支持基于内存的高效并行Datalog推理，同时也支持SPARQL查询。,Datalog,,,属于,SPARQL
其最主要的特点是支持基于内存的高效并行Datalog推理，同时也支持SPARQL查询。,基于内存的高效并行Datalog推理,,,创建者,SPARQL查询
其核心为RDFox推理机，支持增量更新。,RDFox,,,属于,RDFox推理机
其核心为RDFox推理机，支持增量更新。,RDFox推理机,,,创建者,知识图谱项目
假定有如图6-5所示的某金融领域相关的图。,金融领域,,,属于,金融领域相关的图
假定有如图6-5所示的某金融领域相关的图。,图6-5,,,创建者,某金融领域相关的图
对每一个实体，要创建一个IRI。,对每一个实体,,,创建者,创建一个IRI。
<http://www.example.org/kse/finance#孙宏斌>这个IRI就可以使用命名空间简写为“finance：孙宏斌”。,孙宏斌,,,属于,知识图谱/知识表示/知识存储/知识抽取/知识融合/知识推理/语义搜索/知识问答/知识图谱项目
<http://www.example.org/kse/finance#孙宏斌>这个IRI就可以使用命名空间简写为“finance：孙宏斌”。,孙宏斌,,,包含,被定义为
"图6-5某金融领域相关的图一个三元组例子为：finance：融创中国rdf:type_finance：地产事业本体（TBox）如下：●SubClassOf(PublicCompany,Company)//类PublicCompany是Company的子类●ObjectPropertyDomain(Control,Person)//属性Control的定义域是Person●ObjectPropertyRange(Control,Company)//属性Control的值域是Company此本体用RDF/XML的格式描述如下：数据（ABox）用Triple的语法，如下所示。",finance,,,属于,地产事业本体
自定义规则如下：1）执掌一家公司就一定是这家公司的股东。,自定义规则,,,创建者,执掌一家公司就一定是这家公司的股东
用Datalog形式化，写成SWRL规则，具体如下：下面演示如何使用代码（Java）数据读取本体、数据，声明规则并进行推理。,SWRL,,,属于,SWRL规则
读取本体、数据，声明规则。,读取本体、数据，声明规则。,,,创建者,知识图谱项目
推理，定义命名空间与查询操作（用于输出当前三元组）。,推理,,,属于,定义命名空间与查询操作（用于输出当前三元组）。
"第一种情况直接在知识图谱之上的查询称为本体介导的查询回答（Ontology-MediatedQuery_Answering,OMQ）[27]。",本体介导的查询回答,,,包含,本体介导的查询回答
"在OMQ下，查询重写的任务是将一个本体TBoxT上的查询q重写为查询qT，使得对于任意的ABoxA,qT在A上的执行结果等价于q在(T,A)上的执行结果。",查询重写,,,属于,OMQ
"第二种情况称为基于本体的数据访问（Ontology-Based_Data_Access,OBDA）[28,29]。",基于本体的数据访问,,,属于,OBDA
在OBDA的情况下，数据存放在一个或多个数据库中，由映射（Mapping）将数据库的数据映射为一个知识图谱。,OBDA,,,包含,映射
映射的标准语言为W3C的R2RML语言。,映射的标准语言,,,属于,W3C的R2RML语言
映射的标准语言为W3C的R2RML语言。,映射的标准语言,,,创建者,W3C的R2RML语言
OMQ可以看作OBDA的特殊情况，即每个本体中谓词的实例都存储在一个特定的对应表中，而映射只是一个简单的同构关系。,OMQ,,,属于,OBDA
以下着重介绍OBDA。,OBDA,,,创建者,知识图谱项目
"这样OBDA的实例定义为外延层和内涵层的一个对I=(P,D)，其中P=(T,M,S)，且D符合S。",OBDA,,,属于,实例定义
"这样OBDA的实例定义为外延层和内涵层的一个对I=(P,D)，其中P=(T,M,S)，且D符合S。",OBDA,,,创建者,知识图谱项目
用M(D)表示将映射M作用于数据库D上生成的知识图谱。,M(D),,,属于,知识图谱
用M(D)表示将映射M作用于数据库D上生成的知识图谱。,用M(D)表示将映射M作用于数据库D上生成的知识图谱。,,,创建者,用M(D)表示将映射M作用于数据库D上生成的知识图谱。
用M(D)表示将映射M作用于数据库D上生成的知识图谱。,M,,,包含,M(D)
"给定这样一个OBDA实例I,OBDA的语义即定义为一个知识库(T,M(D))。",OBDA,,,属于,知识库
"给定这样一个OBDA实例I,OBDA的语义即定义为一个知识库(T,M(D))。",OBDA,,,包含,"知识库(T,M(D))"
当查询时，本体T为用户提供了一个高级概念视图数据和方便的查询词汇，用户只针对T查询，而数据库存储层和映射层对用户完全透明。,T,,,属于,本体查询
当查询时，本体T为用户提供了一个高级概念视图数据和方便的查询词汇，用户只针对T查询，而数据库存储层和映射层对用户完全透明。,T,,,创建者,用户
这样OBDA可以将底层的数据库呈现为一个知识图谱，从而掩盖了底层存储的细节。,OBDA,,,属于,知识图谱
这样OBDA可以将底层的数据库呈现为一个知识图谱，从而掩盖了底层存储的细节。,OBDA,,,创建者,将底层的数据库呈现为一个知识图谱
在此，我们更感兴趣的是虚拟OBDA的方式，此方式下的三元组并不需要被真正生成，而通过查询重写的方式来实现，OBDA将在本体层面的SPARQL查询重写为在原始数据库上的SQL查询。,虚拟OBDA,,,属于,SPARQL查询重写
相比于ELT的方式，虚拟OBDA方式更轻量化、更灵活，也不需要额外的硬件。,虚拟OBDA方式,,,属于,ELT方式
为了保证可重写性，本体语言通常使用轻量级的本体语言DL-Lite，被W3C标准化为OWL_2_QL。,本体语言,,,创建者,DL-Lite
OBDA查询重写的流程如图6-6所示。,OBDA查询重写,,,属于,OBDA查询重写流程
OBDA查询重写的流程如图6-6所示。,OBDA查询重写的流程,,,创建者,如图6-6所示
对于OMQ的情况，利用本体T将输入的SPARQLq重写为另一个SPARQL。,OMQ,,,包含,本体T
将SPARQL利用映射M展开，把每一个查询中的谓词替换成映射中的定义，生成SQL语句查询[30]。,SPARQL,,,属于,查询语言
将SPARQL利用映射M展开，把每一个查询中的谓词替换成映射中的定义，生成SQL语句查询[30]。,SPARQL,,,包含,利用映射M展开，把每一个查询中的谓词替换成映射中的定义，生成SQL语句查询
将生成的SQL语句交给数据库引擎并执行。,将生成的SQL语句交给数据库引擎并执行。,,,属于,SQL语句
将生成的SQL语句交给数据库引擎并执行。,将生成的SQL语句交给数据库引擎并执行。,,,创建者,将生成的SQL语句交给数据库引擎并执行。
SQL语句查询的结果做一些简单的转换，变换成SPARQL的查询结果。,SQL语句查询的结果,,,属于,SPARQL查询结果
SQL语句查询的结果做一些简单的转换，变换成SPARQL的查询结果。,SQL语句查询的结果,,,创建者,变换成SPARQL的查询结果
为了实现更好的性能，实际使用的OBDA系统做了非常多的优化，实际的流程更加复杂[29]。,OBDA,,,属于,实现更好的性能
为了实现更好的性能，实际使用的OBDA系统做了非常多的优化，实际的流程更加复杂[29]。,OBDA,,,创建者,实际使用的OBDA系统
图6-6OBDA查询重写的流程2.查询重写举例（OMQ）假定有如下一个关于学校信息系统的本体T：查询q1=SELECT?teacherWHERE{?teacheraTeacher}试图查询所有的教师。,查询重写,,,属于,OMQ
图6-6OBDA查询重写的流程2.查询重写举例（OMQ）假定有如下一个关于学校信息系统的本体T：查询q1=SELECT?teacherWHERE{?teacheraTeacher}试图查询所有的教师。,查询重写,,,包含,查询重写举例
通过层次关系和定义域可以被重写为q1'=请注意q1’包括了所有的已知教师和所有有教学任务的人。,通过层次关系和定义域可以被重写为q1'=请注意q1’包括了所有的已知教师和所有有教学任务的人。,,,属于,通过层次关系和定义域可以被重写为q1'=请注意q1’包括了所有的已知教师和所有有教学任务的人。
查询q2=SELECT?teacherWHERE{?teacheraTeacher.?teacherteaches?course.?courseaCourse.}查询所有的教师和讲授的课程。,查询q2,,,属于,SELECT?teacherWHERE{?teacheraTeacher.?teacherteaches?course.?courseaCourse.}查询所有的教师和讲授的课程。
可以先利用teaches的定义域和值域将q2优化为SELECT?teacher?courseWHERE{?teacherteaches?course}然后重写为q2'：注意q2’只包括有教学任务的人。,teaches,,,包含,?teacher?course
4.相关工具介绍基于查询重写的推理机有多个，例如Ontop[12]Mastro[13]、Stardog[14]、Ultrawrap[15]、Morph[16]。,基于查询重写的推理机,,,属于,基于查询重写的推理机
这些工具的功能对比如表6-4所示。,知识图谱,,,属于,知识表示
这些工具的功能对比如表6-4所示。,知识图谱项目,,,创建者,表6-4
表6-4基于查询重写的推理机工具的功能对比Ontop是由意大利博尔扎诺自由大学开发的一个开源的（Apache_License_2.0）OBDA系统，现在由Ontopic公司提供技术支持。,基于查询重写的推理机,,,属于,Ontop
表6-4基于查询重写的推理机工具的功能对比Ontop是由意大利博尔扎诺自由大学开发的一个开源的（Apache_License_2.0）OBDA系统，现在由Ontopic公司提供技术支持。,Ontop,,,创建者,意大利博尔扎诺自由大学
Ontop的Protégé插件可以用于编辑映射和测试查询。,Ontop,,,属于,Protégé插件
Ontop的Protégé插件可以用于编辑映射和测试查询。,Ontop,,,创建者,Protégé插件
RDF4J插件可以将编辑好的OBDA系统发布为一个SPARQL_endpoint。,RDF4J插件,,,属于,OBDA系统
Ontop也提供Java_API。,Ontop,,,创建者,Java_API
与此处提到的其他OBDA系统不同，它仅支持与合取查询相对应的SPARQL的受限片段。,OBDA,,,属于,SPARQL
与此处提到的其他OBDA系统不同，它仅支持与合取查询相对应的SPARQL的受限片段。,知识图谱项目,,,创建者,OBDA系统
Ultrawrap是由Capsenta公司商业化的OBDA系统。,Ultrawrap,,,创建者,Capsenta公司
它被扩展为支持对具有反向和传递属性的RDFS扩展的推断。,RDFS,,,属于,RDFS扩展
Stardog原本是由Stardog_Union开发的商业化的Triple存储工具。,Stardog,,,属于,Triple存储工具
Stardogv4版中集成了Ontop代码以支持虚拟RDF图上的SPARQL查询。,Stardogv4版,,,属于,Ontop代码
Stardogv4版中集成了Ontop代码以支持虚拟RDF图上的SPARQL查询。,Stardogv4版,,,创建者,Ontop
因此，它现在也可以归为OBDA系统。,OBDA,,,创建者,知识图谱
在v5版本中有了自己的OBDA实现。,OBDA,,,属于,v5版本
在v5版本中有了自己的OBDA实现。,v5版本,,,创建者,OBDA实现
限于篇幅，不展开讲解，有兴趣的读者可以查阅参考文献[41]。,知识图谱项目,,,创建者,知识图谱
产生式系统可以应用于自动规划和专家系统等领域。,产生式系统,,,属于,自动规划
事实可描述对象，形如(typeattr_1:val_1attr_2:val_2…attr_n:val_n），其中type、attr_i、val_i均为原子（常量）。,事实可描述对象,,,属于,事实对象
"事实也可描述关系name:""Alice""（Refication）。",事实,,,包含,关系
LHS是conditions的集合，各条件之间为且的关系。,LHS,,,创建者,conditions的集合，各条件之间为且的关系。
当LHS中所有条件均被满足时，触发规则。,触发规则,,,创建者,当LHS中所有条件均被满足时，触发规则。
每个条件形如(typeattr_1:spec_1attr_2:spec_2…attr_n:spec_n）。,SPO,,,属于,三元组抽取
其中，spec_i表示对attr_i的约束，形式可取下列中的一种：●原子，如：Alice(personname:Alice)●变量，如：x(personname:x)●表达式，如：[n+4](personage:[n+4])●布尔测试，如：{>10}(personage:{>10})●约束的与、或、非操作RHS是action的序列，执行时依次执行。,SPO,,,属于,三元组
动作的种类有如下三种：●ADDpattern。,动作,,,属于,ADDpattern
向WM中加入形如pattern的WME。,WM,,,属于,向WM中加入形如pattern的WME
向WM中加入形如pattern的WME。,WM,,,创建者,向WM中加入形如pattern的WME。
●REMOVEi。,REMOVE,,,属于,知识图谱
从WM中移除当前规则第i个条件匹配的WME。,WM,,,属于,规则
从WM中移除当前规则第i个条件匹配的WME。,WM,,,创建者,移除当前规则第i个条件匹配的WME
●MODIFYi(attrspec)。,MODIFYi,,,属于,知识图谱/知识表示/知识存储/知识抽取/知识融合/知识推理/语义搜索/知识问答/知识图谱项目
例如，产生式IF(Studentname:)ThenADD(Personname:)表示如果有一个学生名为？x，则向事实集加入一个事实，表示有一个名为？x的人。,产生式,,,属于,IF
产生式具体语法因不同系统而异，某些系统中此产生式亦可写作(Studentname:x)⇒ADD(Personname:x)。,产生式具体语法,,,属于,不同系统
产生式具体语法因不同系统而异，某些系统中此产生式亦可写作(Studentname:x)⇒ADD(Personname:x)。,产生式具体语法因不同系统而异,,,创建者,某些系统中此产生式亦可写作(Studentname:x)⇒ADD(Personname:x)。
产生式系统执行流程如图6-7所示。,产生式系统,,,属于,知识表示系统
产生式系统执行流程如图6-7所示。,产生式系统执行流程,,,创建者,图6-7
图6-7产生式系统执行流程产生式系统主要有三个部分：●模式匹配。,产生式系统,,,属于,模式匹配
图6-7产生式系统执行流程产生式系统主要有三个部分：●模式匹配。,产生式系统,,,包含,模式匹配
用规则的条件部分匹配事实集中的事实，整个LHS都被满足的规则被触发，并被加入议程（Agenda）。,规则,,,属于,LHS
●选择规则。,选择规则,,,属于,知识图谱
●选择规则。,选择规则,,,创建者,知识图谱项目
按一定的策略从被触发的多条规则中选择一条。,SPO,,,属于,知识图谱
按一定的策略从被触发的多条规则中选择一条。,按一定的策略从被触发的多条规则中选择一条。,,,创建者,知识图谱项目
按一定的策略从被触发的多条规则中选择一条。,选择一条,,,包含,按一定的策略从被触发的多条规则中选择一条。
●执行规则。,执行规则,,,属于,知识图谱
执行被选择出来的规则的RHS，从而操作WM。,执行被选择出来的规则的RHS,,,属于,WM
执行被选择出来的规则的RHS，从而操作WM。,执行被选择出来的规则的RHS,,,创建者,WM
模式匹配用每条规则的条件部分匹配当前的WM，如图6-8所示为匹配规则过程。,模式匹配,,,属于,WM
模式匹配用每条规则的条件部分匹配当前的WM，如图6-8所示为匹配规则过程。,模式匹配,,,包含,WM
"规则为：（typexy）,(subClassOfyz)⇒ADD(typexz)。",模式匹配,,,包含,WM
"规则为：（typexy）,(subClassOfyz)⇒ADD(typexz)。",规则,,,包含,ADD
图6-8匹配规则过程高效的模式匹配算法是产生式规则引擎的核心。,图6-8匹配规则过程,,,属于,高效的模式匹配算法
图6-8匹配规则过程高效的模式匹配算法是产生式规则引擎的核心。,图6-8匹配规则过程高效的模式匹配算法是产生式规则引擎的核心。,,,包含,图6-8匹配规则过程高效的模式匹配算法是产生式规则引擎的核心。
目前，最流行的算法是Rete算法，在1979年由CharlesForgy提出[42]。,Rete算法,,,属于,Rete算法
目前，最流行的算法是Rete算法，在1979年由CharlesForgy提出[42]。,Rete算法,,,创建者,CharlesForgy
其主要的想法为将产生式的LHS组织成判别网络形式，以实现用空间换时间的效果。,产生式的LHS组织成判别网络形式,,,创建者,实现用空间换时间的效果
下面用图6-9和图6-10解释Rete算法的形状。,Rete算法,,,属于,图6-9
最主要的部分为α网络和β网络。,知识图谱,,,属于,知识表示
α和β的名字来源于产生式规则常写成α⇒β的形式。,α和β的名字来源于产生式规则,,,属于,产生式规则
α网络对应条件，检验并保存各个条件对应的WME集合。,α网络,,,创建者,条件
图6-9Rete网络图6-10Rete算法的匹配过程选择规则从被触发的多条规则中选择一条执行，常用的策略有：●随机选择。,Rete网络,,,属于,图6-9Rete网络图6-10Rete算法的匹配过程选择规则从被触发的多条规则中选择一条执行，常用的策略有：●随机选择。
从被触发的规则中随机选择一条执行。,SPO,,,属于,三元组抽取
从被触发的规则中随机选择一条执行。,知识图谱项目,,,创建者,被触发的规则
从被触发的规则中随机选择一条执行。,触发规则,,,包含,执行
注意在推理的场景下，被触发的多条规则可全被执行。,推理,,,属于,规则
注意在推理的场景下，被触发的多条规则可全被执行。,知识图谱项目,,,创建者,推理
注意在推理的场景下，被触发的多条规则可全被执行。,推理,,,包含,规则
●具体性（specificity）。,具体性,,,属于,SPO三元组
●具体性（specificity）。,具体性,,,创建者,具体性
选择最具体的规则，例如下面的第二条规则比第一条更具体，故当同时满足时触发第二条：(Studentname:)⇒…(Studentname:age:20)⇒…●新近程度（recency）。,选择最具体的规则,,,属于,规则
选择最近没有被触发的规则执行动作。,选择最近没有被触发的规则执行动作,,,属于,规则
选择最近没有被触发的规则执行动作。,选择最近没有被触发的规则执行动作,,,创建者,规则
Drools是一个商用规则管理系统，提供了一个规则推理引擎。,Drools,,,创建者,商用规则管理系统
核心算法是基于Rete算法的改进。,核心算法,,,属于,Rete算法
核心算法是基于Rete算法的改进。,核心算法,,,创建者,基于Rete算法的改进
提供规则定义语言，支持嵌入Java代码。,SPO,,,属于,规则定义语言
提供规则定义语言，支持嵌入Java代码。,提供规则定义语言,,,创建者,支持嵌入Java代码
Jena是一个用于构建语义网应用的Java框架。,Jena,,,创建者,Apache
提供了处理RDF、RDFS、OWL数据的接口，还提供了一个规则引擎。,SPO,,,属于,知识图谱
提供了处理RDF、RDFS、OWL数据的接口，还提供了一个规则引擎。,RDF,,,创建者,提供了处理RDF、RDFS、OWL数据的接口，还提供了一个规则引擎。
提供三元组的内存存储于SPARQL、查询。,SPARQL,,,属于,查询
Jena使用举例：创建模型，如下：创建规则推理机，如下：（3）GraphDB。,Jena,,,包含,JenaAPI
GraphDB（原OWLIM）是一个可扩展的语义数据存储系统（基于RDF4J），其功能包含三元组存储、推理引擎、查询引擎，支持RDFS、OWL_DLP、OWL_Horst、OWL_2_RL等多种语言。,Jena,,,包含,JenaAPI
GraphDB（原OWLIM）是一个可扩展的语义数据存储系统（基于RDF4J），其功能包含三元组存储、推理引擎、查询引擎，支持RDFS、OWL_DLP、OWL_Horst、OWL_2_RL等多种语言。,Jena,,,包含,JenaAPI
GraphDB（原OWLIM）是一个可扩展的语义数据存储系统（基于RDF4J），其功能包含三元组存储、推理引擎、查询引擎，支持RDFS、OWL_DLP、OWL_Horst、OWL_2_RL等多种语言。,Jena,,,包含,JenaAPI
GraphDB（原OWLIM）是一个可扩展的语义数据存储系统（基于RDF4J），其功能包含三元组存储、推理引擎、查询引擎，支持RDFS、OWL_DLP、OWL_Horst、OWL_2_RL等多种语言。,Jena,,,包含,JenaAPI
在这种自动化构建的大规模知识图谱上进行推理，知识的不精确性以及巨大的规模对演绎推理来说是很大的挑战，而归纳推理却很适用。,知识图谱,,,创建者,知识图谱项目
基于归纳的知识图谱推理主要是通过对知识图谱已有信息的分析和挖掘进行推理的，最常用的信息为已有的三元组。,基于归纳的知识图谱推理,,,属于,基于归纳的知识图谱推理
按照推理要素的不同，基于归纳的知识图谱推理可以分为以下几类：基于图结构的推理、基于规则学习的推理和基于表示学习的推理。,基于归纳的知识图谱推理,,,创建者,基于图结构的推理、基于规则学习的推理和基于表示学习的推理
6.3.1基于图结构的推理1.方法概述对于那些自底向上构建的知识图谱，图谱中大部分信息都是表示两个实体之间拥有某种关系的事实三元组。,基于图结构的推理,,,属于,自底向上构建的知识图谱
其中A、B、C是三个代表关系的变量，由“妻子是”和“孩子有”两种关系组成的路径与关系“孩子有”在图谱中是经常共现的，且其共现与A、B、C具体是什么实体没有关系。,关系,,,包含,孩子有
这说明了路径是一种重要的进行关系推理的信息，也是一种重要的图结构。,路径,,,属于,关系推理
这说明了路径是一种重要的进行关系推理的信息，也是一种重要的图结构。,路径,,,创建者,进行关系推理的信息
一般而言，离实体越近的节点对描述这个实体的贡献越大，在知识图谱推理的研究中，常考虑的是实体一跳和两跳范围内的节点和关系。,实体一跳和两跳范围内的节点和关系,,,属于,知识图谱推理
一般而言，离实体越近的节点对描述这个实体的贡献越大，在知识图谱推理的研究中，常考虑的是实体一跳和两跳范围内的节点和关系。,知识图谱项目,,,创建者,离实体越近的节点对描述这个实体的贡献越大
下面将介绍常见的基于图结构的知识图谱推理算法。,基于图结构的知识图谱推理算法,,,创建者,基于图结构的知识图谱推理算法
2.常见算法简介典型的基于图结构的推理方法有PRA（Path_Ranking_Algorithm）[10]利用了实体节点之间的路径当作特征从而进行链接预测推理。,PRA,,,属于,基于图结构的推理方法
2.常见算法简介典型的基于图结构的推理方法有PRA（Path_Ranking_Algorithm）[10]利用了实体节点之间的路径当作特征从而进行链接预测推理。,PRA,,,包含,基于图结构的推理方法
（1）基于知识图谱路径特征的PRA算法。,基于知识图谱路径特征的PRA算法,,,属于,基于知识图谱路径特征的PRA算法
（1）基于知识图谱路径特征的PRA算法。,PRA算法,,,创建者,基于知识图谱路径特征的PRA算法
（1）基于知识图谱路径特征的PRA算法。,基于知识图谱路径特征的PRA算法,,,包含,PRA算法
PRA针对的知识图谱主要是自底向上自动化构建的含有较多噪声的图谱，例如NELL，并将关系推理的问题形式化为一个排序问题，对每个关系的头实体预测和尾实体预测都单独训练一条排序模型。,PRA,,,包含,NELL
PRA将存在于知识图谱中的路径当作特征，并通过图上的计算对每个路径赋予相应的特征值，然后利用这些特征学习一个逻辑斯蒂回归分类器完成关系推理。,PRA,,,属于,知识图谱
PRA将存在于知识图谱中的路径当作特征，并通过图上的计算对每个路径赋予相应的特征值，然后利用这些特征学习一个逻辑斯蒂回归分类器完成关系推理。,PRA,,,创建者,图上的计算
PRA将存在于知识图谱中的路径当作特征，并通过图上的计算对每个路径赋予相应的特征值，然后利用这些特征学习一个逻辑斯蒂回归分类器完成关系推理。,PRA,,,包含,逻辑斯蒂回归分类器
在PRA中，每一个路径可以当作对当前关系判断的一个专家，不同的路径从不同的角度说明了当前关系的存在与否。,PRA,,,创建者,路径分析
在PRA中，利用随机游走的路径排序算法首先需要生成一些路径特征，一个路径P是由一系列关系组成的，即：式中，Tn为关系rn的作用域（range)以及关系rn−1的值域（domian)，即Tn=range（rn）=domain（rn−1），关系的值域和作用域通常指的是实体的类型。,PRA,,,属于,随机游走路径排序算法
"基于路径的随机游走定义了一个关系路径的分布，并得到每条路径的特征值sℎ,P（t）,sℎ,P（t）可以理解为沿着路径P从h开始能够到达t的概率。",基于路径的随机游走,,,属于,关系路径的分布
"具体操作为，在随机游走的初始阶段，sℎ,P（e）初始化为1，如果e=s，否则初始化为0。",随机游走,,,属于,随机游走算法
"具体操作为，在随机游走的初始阶段，sℎ,P（e）初始化为1，如果e=s，否则初始化为0。",具体操作为,,,包含,随机游走
"在随机游走的过程中，sℎ,P（e）的更新原则如下：式中表示从节点e′出发沿着关系rl通过一步的游走能够到达节点e的概率。",随机游走,,,属于,随机游走模型
"对于关系r，在通过随机游走得到一系列路径特征Pr={P1,⋯,Pn}之后，PRA利用这些路径特征为关系r训练一个线性的预测实体排序模型，其中关系r下的每个训练样本，即一个头实体和尾实体的组合的得分计算方法如下：基于每个样本的得分，通过一个逻辑斯蒂函数得到每个样本的概率，即：再通过一个线性变化加上最大似然估计，设计损失函数如下：li（θ）=wi[yilnpi+（1−yi）ln（1−pi）].式中，yi为训练样本（hi,ti）是否具有关系r的标记，如果（hi,r,ti）存在，则标记为1；如果不存在，则标记为0。",关系抽取,,,属于,PRA
在路径特征搜索的过程中，PRA增加了对有效路径特征的约束，来有效减小搜索空间：路径在图谱中的支持度（support）应大于某设定的比例α；路径的长度小于或等于某设定的长度；每条路径至少有一个正样本在训练集中。,PRA,,,属于,路径特征搜索
采集路径随机游走过程采用了LVS（Low-Variance_Sampling）的方法。,采集路径随机游走过程,,,属于,LVS（Low-Variance_Sampling）的方法
采集路径随机游走过程采用了LVS（Low-Variance_Sampling）的方法。,采集路径随机游走过程,,,包含,LVS（Low-Variance_Sampling）的方法
结合了有效采样和随机有走的PRA能够快速有效地利用知识图谱的路径结构对知识图谱进行关系推理，是典型的基于图结构的知识图谱推理算法。,PRA,,,属于,基于图结构的知识图谱推理算法
（2）PRA的演化算法。,PRA,,,创建者,演化算法
（2）PRA的演化算法。,PRA,,,包含,演化算法
所以，CoR-PRA（Constant_and_Reversed_Path_RankingAlgorithm）[43]通过改变PRA的路径特征搜索策略，促使其能够涵盖更多种语义信息的特征，主要是包含常量的图结构特征。,CoR-PRA,,,属于,PRA
通过路径搜索算法生成以h为起点的小于长度l的路径集合Pℎ；通过路径搜索算法生成以t为起点的小于长度l的路径集合Pt。,路径搜索算法,,,包含,路径集合Pℎ
通过路径搜索算法生成以h为起点的小于长度l的路径集合Pℎ；通过路径搜索算法生成以t为起点的小于长度l的路径集合Pt。,路径搜索算法,,,包含,路径集合Pt
2）通过PRA计算路径特征的概率。,PRA,,,属于,路径特征计算
2）通过PRA计算路径特征的概率。,PRA,,,包含,路径特征的概率计算
对于路径πℎ∈Pℎ，计算沿着路径πℎ正向地由h到达x的概率P（h→x;πℎ），以及沿着路径πℎ逆向地由h到达x的概率；同理，对路径πt∈Pt，计算沿着路径πt正向地由t到达x的概率P（t→x;πt），以及沿着路径πt逆向地由t到达x的概率；并将所有的x放入常量候选集N中。,路径,,,属于,Pℎ
对于路径πℎ∈Pℎ，计算沿着路径πℎ正向地由h到达x的概率P（h→x;πℎ），以及沿着路径πℎ逆向地由h到达x的概率；同理，对路径πt∈Pt，计算沿着路径πt正向地由t到达x的概率P（t→x;πt），以及沿着路径πt逆向地由t到达x的概率；并将所有的x放入常量候选集N中。,路径,,,属于,Pt
"对每一个（x∈N,πϵPt）的组合，如果P（t→x|πt）＞0，那么生成路径特征，其中c=x，并且将路径特征对应的覆盖度值（coverage）加1，即；同理，对每一个（x∈N,πϵPt）的组合，如果，那么生成路径特征P（c→t;πt），其中c=x，并且将路径特征对应的覆盖度值加1，即coverage（P（c→t;πt））+=1。",路径特征,,,属于,P（t→x|πt）
"对每一个（x∈N,πϵPt）的组合，如果P（t→x|πt）＞0，那么生成路径特征，其中c=x，并且将路径特征对应的覆盖度值（coverage）加1，即；同理，对每一个（x∈N,πϵPt）的组合，如果，那么生成路径特征P（c→t;πt），其中c=x，并且将路径特征对应的覆盖度值加1，即coverage（P（c→t;πt））+=1。",路径特征,,,属于,P（c→t;πt）
4）生成更长的路径特征候选集（LongConcatenatedPathCandidates）。,生成更长的路径特征候选集,,,属于,LongConcatenatedPathCandidates
4）生成更长的路径特征候选集（LongConcatenatedPathCandidates）。,生成更长的路径特征候选集,,,包含,LongConcatenatedPathCandidates
"对每一个可，就生成路能的组合（x∈N,πℎ∈Pℎ,πt∈Pt），如果P（s←x|πs）＞0且径并且更新其覆盖度，即，同时更新其准确度，即。",知识图谱,,,属于,知识表示
"对每一个可，就生成路能的组合（x∈N,πℎ∈Pℎ,πt∈Pt），如果P（s←x|πs）＞0且径并且更新其覆盖度，即，同时更新其准确度，即。",知识图谱,,,属于,知识存储
"对每一个可，就生成路能的组合（x∈N,πℎ∈Pℎ,πt∈Pt），如果P（s←x|πs）＞0且径并且更新其覆盖度，即，同时更新其准确度，即。",知识图谱,,,属于,知识抽取
"对每一个可，就生成路能的组合（x∈N,πℎ∈Pℎ,πt∈Pt），如果P（s←x|πs）＞0且径并且更新其覆盖度，即，同时更新其准确度，即。",知识图谱,,,属于,知识融合
"对每一个可，就生成路能的组合（x∈N,πℎ∈Pℎ,πt∈Pt），如果P（s←x|πs）＞0且径并且更新其覆盖度，即，同时更新其准确度，即。",知识图谱,,,属于,知识推理
"对每一个可，就生成路能的组合（x∈N,πℎ∈Pℎ,πt∈Pt），如果P（s←x|πs）＞0且径并且更新其覆盖度，即，同时更新其准确度，即。",知识图谱,,,属于,语义搜索
"对每一个可，就生成路能的组合（x∈N,πℎ∈Pℎ,πt∈Pt），如果P（s←x|πs）＞0且径并且更新其覆盖度，即，同时更新其准确度，即。",知识图谱,,,属于,知识问答
"对每一个可，就生成路能的组合（x∈N,πℎ∈Pℎ,πt∈Pt），如果P（s←x|πs）＞0且径并且更新其覆盖度，即，同时更新其准确度，即。",知识图谱,,,属于,知识图谱项目
反向同理。,反向同理,,,包含,反向推理
"从路径搜索过程可以看出，相比PRA,CoR-PRA最重要的不同有两方面，一是增加了带有常量的路径特征的搜索，二是搜索过程由单项搜索变成了双向搜索。",PRA,,,属于,CoR-PRA
尽管采用了随机游走策略来降低搜索空间，当PRA应用在关系丰富且连接稠密的知识图谱上时，依然会面临路径特征爆炸的问题。,PRA,,,属于,随机游走策略
为了提高PRA的路径搜索效率以及路径特征的丰富度，Gardner[44]提出了SFE（Subgraph_Feature_Extraction）模型，改变了PRA的路径特征搜索过程。,PRA,,,属于,SFE模型
为了提高PRA的路径搜索效率以及路径特征的丰富度，Gardner[44]提出了SFE（Subgraph_Feature_Extraction）模型，改变了PRA的路径特征搜索过程。,Gardner,,,创建者,SFE
