2.3互联网时代的语义网知识表示框架随着语义网的提出，知识表示迎来了新的契机和挑战，契机在于语义网为知识表示提供了一个很好的应用场景，挑战在于面向语义网的知识表示需要提供一套标准语言可以用来描述Web的各种信息。,面向语义网的知识表示,,,提供一套标准语言可以用来描述Web的各种信息,
早期Web的标准语言HTML和XML无法适应语义网对知识表示的要求，所以W3C提出了新的标准语言RDF、RDFS和OWL。,RDF,,,三维语言,
这两种语言的语法可以跟XML兼容。,两种语言的语法,,,XML兼容,
下面详细介绍这几种语言。,下面详细介绍这几种语言,,,语言,
2.3.1RDF和RDFSRDF是W3C的RDF工作组制定的关于知识图谱的国际标准。,RDF,,,知识图谱的国际标准,
RDF是W3C一系列语义网标准的核心，如图2-4所示。,RDF,,,W3C一系列语义网标准的核心,
RDF是W3C一系列语义网标准的核心，如图2-4所示。,RDF,,,W3C一系列语义网标准的核心,
●表示组（Representation）包括URI/IRI、XML和RDF。,表示组,,,URI/IRI、XML和RDF,
●表示组（Representation）包括URI/IRI、XML和RDF。,表示组,,,Representation,
前两者主要是为RDF提供语法基础。,OWL_2_RDF_语法,,,为RDF提供语法基础,
●推理组（Reasoning）包括RDF-S、本体OWL、规则RIF和统一逻辑。,推理组,,,RDF-S、本体OWL、规则RIF和统一逻辑,
●推理组（Reasoning）包括RDF-S、本体OWL、规则RIF和统一逻辑。,推理组,,,Reasoning,
统一逻辑目前还没有定论。,统一逻辑,,,还没有定论,
●信任组和用户互动组。,信任组,,,用户互动组,
图2-4对W3C的语义网标准栈做了分组。,语义网标准栈,,,W3C,
目前，跟知识图谱最相关的有：图2-4W3C的语义网标准栈及其分组2006年，人们开始用RDF发布和链接数据，从而生成知识图谱，比较知名的有DBpedia、Yago和Freebase。,知识图谱,,,knowledge graph,
2009年，Tim_Berners-Lee为进一步推动语义网开放数据的发展，进一步提出了开放链接数据的五星级原则，如表2-3所示。,开放链接数据的五星级原则,,,进一步推动语义网开放数据的发展，进一步提出,
表2-3开放链接数据的五星级原则Tim_Berners-Lee提出了实现五星级原则的四个步骤：●使用URIs对事物命名；●使用HTTP_URIs，以方便搜索；●使用RDF描述事物并提供SPARQL端点，以方便对RDF图谱查询；●链接不同的图谱（例如通过owl:sameAs），以方便数据重用。,实现五星级原则的四个步骤,,,使用URIs对事物命名,
表2-3开放链接数据的五星级原则Tim_Berners-Lee提出了实现五星级原则的四个步骤：●使用URIs对事物命名；●使用HTTP_URIs，以方便搜索；●使用RDF描述事物并提供SPARQL端点，以方便对RDF图谱查询；●链接不同的图谱（例如通过owl:sameAs），以方便数据重用。,实现五星级原则的四个步骤,,,使用HTTP_URIs，以方便搜索,
表2-3开放链接数据的五星级原则Tim_Berners-Lee提出了实现五星级原则的四个步骤：●使用URIs对事物命名；●使用HTTP_URIs，以方便搜索；●使用RDF描述事物并提供SPARQL端点，以方便对RDF图谱查询；●链接不同的图谱（例如通过owl:sameAs），以方便数据重用。,实现五星级原则的四个步骤,,,使用RDF描述事物并提供SPARQL端点，以方便对RDF图谱查询,
表2-3开放链接数据的五星级原则Tim_Berners-Lee提出了实现五星级原则的四个步骤：●使用URIs对事物命名；●使用HTTP_URIs，以方便搜索；●使用RDF描述事物并提供SPARQL端点，以方便对RDF图谱查询；●链接不同的图谱（例如通过owl:sameAs），以方便数据重用。,实现五星级原则的四个步骤,,,链接不同的图谱（例如通过owl:sameAs），以方便数据重用,
表2-3开放链接数据的五星级原则Tim_Berners-Lee提出了实现五星级原则的四个步骤：●使用URIs对事物命名；●使用HTTP_URIs，以方便搜索；●使用RDF描述事物并提供SPARQL端点，以方便对RDF图谱查询；●链接不同的图谱（例如通过owl:sameAs），以方便数据重用。,五星级原则,,,实现五星级原则的四个步骤,
2007年，不少开放图谱实现与DBpedia链接。,开放图谱,,,DBpedia,
如图2-5为开放链接数据早期的发展。,开放链接数据,,,早期的发展,
图2-5开放链接数据早期的发展1.RDF简介在RDF中，知识总是以三元组的形式出现。,RDF,,,开放链接数据早期的发展,
图2-5开放链接数据早期的发展1.RDF简介在RDF中，知识总是以三元组的形式出现。,RDF,,,三元组,
"每一份知识可以被分解为如下形式：(subject,predicate,object)。",知识,,,每一份知识,
"例如，“IBM邀请Jeff_Pan作为讲者，演讲主题是知识图谱”可以写成以下RDF三元组：（IBM-Talk,speaker,Jeff）,（IBM-Talk,theme,KG）。",IBM-Talk,,,讲者,
"例如，“IBM邀请Jeff_Pan作为讲者，演讲主题是知识图谱”可以写成以下RDF三元组：（IBM-Talk,speaker,Jeff）,（IBM-Talk,theme,KG）。",IBM-Talk,,,知识图谱,
RDF中的主语是一个个体（Individual），个体是类的实例。,RDF中的主语,,,个体,
RDF中的主语是一个个体（Individual），个体是类的实例。,主语,,,个体,
RDF中的谓语是一个属性。,谓语,,,属性,
属性可以连接两个个体，或者连接一个个体和一个数据类型的实例。,属性,,,连接两个个体或者连接一个个体和一个数据类型的实例,
"换言之，RDF中的宾语可以是一个个体，例如（IBM-Talk,speaker,Jeff）也可以是一个数据类型的实例，例如（IBM-Talk,talkDate,“05-10-2012”^xsd:date）。",RDF中的宾语,,,个体,
"换言之，RDF中的宾语可以是一个个体，例如（IBM-Talk,speaker,Jeff）也可以是一个数据类型的实例，例如（IBM-Talk,talkDate,“05-10-2012”^xsd:date）。",RDF中的宾语,,,数据类型的实例,
"换言之，RDF中的宾语可以是一个个体，例如（IBM-Talk,speaker,Jeff）也可以是一个数据类型的实例，例如（IBM-Talk,talkDate,“05-10-2012”^xsd:date）。",宾语,,,individual,
"换言之，RDF中的宾语可以是一个个体，例如（IBM-Talk,speaker,Jeff）也可以是一个数据类型的实例，例如（IBM-Talk,talkDate,“05-10-2012”^xsd:date）。",宾语,,,数据类型的实例,
如果把三元组的主语和宾语看成图的节点，三元组的谓语看成边，那么一个RDF知识库则可以被看成一个图或一个知识图谱，如图2-6所示。,RDF知识库,,,图或知识图谱,
如果把三元组的主语和宾语看成图的节点，三元组的谓语看成边，那么一个RDF知识库则可以被看成一个图或一个知识图谱，如图2-6所示。,三元组,,,一个RDF知识库,
三元组则是图的单元。,三元组,,,图的单元,
在RDF中，三元组中的主谓宾都有一个全局标识URI，包括以上例子中的Jeff、IBM_Talk_和KG，如图2-7所示。,三元组,,,RDF,
在RDF中，三元组中的主谓宾都有一个全局标识URI，包括以上例子中的Jeff、IBM_Talk_和KG，如图2-7所示。,三元组,,,triple,
在RDF中，三元组中的主谓宾都有一个全局标识URI，包括以上例子中的Jeff、IBM_Talk_和KG，如图2-7所示。,主谓宾,,,subject,
在RDF中，三元组中的主谓宾都有一个全局标识URI，包括以上例子中的Jeff、IBM_Talk_和KG，如图2-7所示。,全局标识URI,,,object,
图2-6一个RDF知识库可以被看成一个图图2-7三元组的全局标识URI全局标识URI可以被简化成前缀URI，如图2-8所示。,RDF知识库,,,图,
图2-6一个RDF知识库可以被看成一个图图2-7三元组的全局标识URI全局标识URI可以被简化成前缀URI，如图2-8所示。,RDF知识库,,,一个RDF知识库,
RDF允许没有全局标识的空白节点（Blank_Node）。,RDF,,,没有全局标识的空白节点,
RDF允许没有全局标识的空白节点（Blank_Node）。,RDF,,,Reside Free and Dynamic,
空白节点的前缀为“_”。,空白节点,,,“_”,
例如，Jeff是某一次关于KG讲座的讲者，如图2-9所示。,Jeff,,,一次关于KG讲座的讲者,
图2-8前缀URI图2-9没有全局标识的空白节点RDF是抽象的数据模型，支持不同的序列化格式，例如RDF/XML、Turtle和N-Triple，如图2-10所示。,RDF,,,抽象的数据模型,
图2-8前缀URI图2-9没有全局标识的空白节点RDF是抽象的数据模型，支持不同的序列化格式，例如RDF/XML、Turtle和N-Triple，如图2-10所示。,RDF,,,抽象的数据模型,
图2-10不同的序列化格式2.开放世界假设不同于经典数据库采用封闭世界假设，RDF采用的是开放世界假设。,开放世界假设,,,RDF,
图2-10不同的序列化格式2.开放世界假设不同于经典数据库采用封闭世界假设，RDF采用的是开放世界假设。,开放世界假设,,,open world assumption,
图2-10不同的序列化格式2.开放世界假设不同于经典数据库采用封闭世界假设，RDF采用的是开放世界假设。,经典数据库,,,closed world assumption,
也就是说，RDF的开放性特点和要求。,RDF的开放性特点,,,要求,
（IBM-图谱里的知识有可能是不完备的，这符合Web讲座只有一位讲者。,IBM-图谱里的知识,,,不完备,
"换一个角度，（IBM-Talk,speaker,Jeff）并不意味着Talk,speaker,Jeff）意味着IBM讲座至少有一位讲者。",IBM-Talk,,,概念/产品,
"换一个角度，（IBM-Talk,speaker,Jeff）并不意味着Talk,speaker,Jeff）意味着IBM讲座至少有一位讲者。",IBM-Talk,,,IBM讲座,
采用开放世界假设意味着RDF图谱可以被分布式储存，如图2-11所示。,RDF图谱,,,分布式储存,
采用开放世界假设意味着RDF图谱可以被分布式储存，如图2-11所示。,采用开放世界假设,,,RDF图谱可以被分布式储存,
IBM图2-11RDF图谱可以被分布式储存同时，分布式定义的知识可以自动合并，如图2-12所示。,RDF图谱,,,分布式储存,
IBM图2-11RDF图谱可以被分布式储存同时，分布式定义的知识可以自动合并，如图2-12所示。,RDF图谱,,,RDF图,
图2-12分布式定义的知识可以自动合并3.RDFS简介RDF用到了类以及属性描述个体之间的关系。,RDFS,,,用到了类以及属性描述个体之间的关系,
图2-12分布式定义的知识可以自动合并3.RDFS简介RDF用到了类以及属性描述个体之间的关系。,RDF,,,描述个体之间的关系,
这些类和属性由模式（schema）定义。,类和属性,,,模式（schema）定义,
RDF_Schema（RDF模式，简称RDFS）提供了对类和属性的简单描述，从而给RDF数据提供词汇建模的语言。,RDF_Schema,,,对类和属性的简单描述,
RDF_Schema（RDF模式，简称RDFS）提供了对类和属性的简单描述，从而给RDF数据提供词汇建模的语言。,RDF_Schema,,,RDF模式,
更丰富的定义则需要用到OWL本体描述语言。,OWL本体描述语言,,,更丰富的定义,
RDFS提供了最基本的对类和属性的描述元语：●rdf:type：用于指定个体的类；●rdfs:subClassOf：用于指定类的父类；●rdfs:subPropertyOf：用于指定属性的父属性；●rdfs:domain：用于指定属性的定义域；●rdfs:range：用于指定属性的值域。,rdfs:subClassOf,,,指定类的父类,
RDFS提供了最基本的对类和属性的描述元语：●rdf:type：用于指定个体的类；●rdfs:subClassOf：用于指定类的父类；●rdfs:subPropertyOf：用于指定属性的父属性；●rdfs:domain：用于指定属性的定义域；●rdfs:range：用于指定属性的值域。,rdfs:subPropertyOf,,,指定属性的父属性,
RDFS提供了最基本的对类和属性的描述元语：●rdf:type：用于指定个体的类；●rdfs:subClassOf：用于指定类的父类；●rdfs:subPropertyOf：用于指定属性的父属性；●rdfs:domain：用于指定属性的定义域；●rdfs:range：用于指定属性的值域。,rdfs:domain,,,指定属性的定义域,
RDFS提供了最基本的对类和属性的描述元语：●rdf:type：用于指定个体的类；●rdfs:subClassOf：用于指定类的父类；●rdfs:subPropertyOf：用于指定属性的父属性；●rdfs:domain：用于指定属性的定义域；●rdfs:range：用于指定属性的值域。,rdfs:range,,,指定属性的值域,
举例来说，下面的三元组表示用户自定义的元数据Author是Dublin_Core的元数据Creator的子类，如图2-13所示。,Author,,,Dublin_Core的元数据Creator的子类,
举例来说，下面的三元组表示用户自定义的元数据Author是Dublin_Core的元数据Creator的子类，如图2-13所示。,等价,,,equivalence,
举例来说，下面的三元组表示用户自定义的元数据Author是Dublin_Core的元数据Creator的子类，如图2-13所示。,英文名,,,英文名,
RDF_Schema通过这样的方式描述不同词汇集的元数据之间的关系，从而为网络上统一格式的元数据交换打下基础。,RDF_Schema,,,描述不同词汇集的元数据之间的关系,
下面用图2-14说明RDFS，为了简便，边的标签省略了RDF或者RDFS。,RDFS,,,OWL,
知识被分为两类，一类是数据层面的知识，例如haofen_type_Person（haofen是Person类的一个实例），另外一类是模式层面的知识，例如speaker_domainPerson（speaker属性的定义域是Person类）。,知识,,,数据层面的知识,
知识被分为两类，一类是数据层面的知识，例如haofen_type_Person（haofen是Person类的一个实例），另外一类是模式层面的知识，例如speaker_domainPerson（speaker属性的定义域是Person类）。,知识,,,模式层面的知识,
知识被分为两类，一类是数据层面的知识，例如haofen_type_Person（haofen是Person类的一个实例），另外一类是模式层面的知识，例如speaker_domainPerson（speaker属性的定义域是Person类）。,知识,,,data层面的知识,
知识被分为两类，一类是数据层面的知识，例如haofen_type_Person（haofen是Person类的一个实例），另外一类是模式层面的知识，例如speaker_domainPerson（speaker属性的定义域是Person类）。,知识,,,模式层面的知识,
图2-13Author是Creator的子类图2-14RDFS示例2.3.2OWL和OWL2Fragments前面介绍了RDF和RDFS，通过RDF（S）可以表示一些简单的语义，但在更复杂的场景下，RDF（S）语义的表达能力显得太弱，还缺少常用的特征：（1）对于局部值域的属性定义。,Author,,,Creator,
RDF（S）中通过rdfs:range定义了属性的值域，该值域是全局性的，无法说明该属性应用于某些具体的类时具有的特殊值域限制，如无法声明父母至少有一个孩子。,rdfs:range,,,属性的值域,
RDF（S）中通过rdfs:range定义了属性的值域，该值域是全局性的，无法说明该属性应用于某些具体的类时具有的特殊值域限制，如无法声明父母至少有一个孩子。,属性的值域,,,rdfs:range,
（2）类、属性、个体的等价性。,类,,,属性、个体的等价性,
（2）类、属性、个体的等价性。,等价,,,equivalence,
（2）类、属性、个体的等价性。,属性,,,property,
（2）类、属性、个体的等价性。,个体,,,individual,
RDF（S）中无法声明两个类或多个类、属性和个体是等价还是不等价，如无法声明Tim-Berns_Lee和T.B.Lee是同一个人。,RDF（S）,,,RDF（S）,
（3）不相交类的定义。,不相交类的定义,,,概念/产品,
在RDF（S）中只能声明子类关系，如男人和女人都是人的子类，但无法声明这两个类是不相交的。,男人,,,人的子类,
在RDF（S）中只能声明子类关系，如男人和女人都是人的子类，但无法声明这两个类是不相交的。,女人,,,人的子类,
在RDF（S）中只能声明子类关系，如男人和女人都是人的子类，但无法声明这两个类是不相交的。,等价,,,subclass,
（4）基数约束。,SPO,,,概念/产品,
即对某属性值可能或必需的取值范围进行约束，如说明一个人有双亲（包括两个人），一门课至少有一名教师等。,属性约束,,,对某属性值可能或必需的取值范围进行约束,
即对某属性值可能或必需的取值范围进行约束，如说明一个人有双亲（包括两个人），一门课至少有一名教师等。,等价,,,equivalence,
（5）关于属性特性的描述。,属性特性,,,关于属性特性的描述。,
即声明属性的某些特性，如传递性、函数性、对称性，以及声明一个属性是另一个属性的逆属性等，如大于关系的逆关系是小于关系。,属性,,,声明属性的某些特性,
即声明属性的某些特性，如传递性、函数性、对称性，以及声明一个属性是另一个属性的逆属性等，如大于关系的逆关系是小于关系。,传递性,,,transitivity,
即声明属性的某些特性，如传递性、函数性、对称性，以及声明一个属性是另一个属性的逆属性等，如大于关系的逆关系是小于关系。,函数性,,,functional,
即声明属性的某些特性，如传递性、函数性、对称性，以及声明一个属性是另一个属性的逆属性等，如大于关系的逆关系是小于关系。,对称性,,,symmetry,
即声明属性的某些特性，如传递性、函数性、对称性，以及声明一个属性是另一个属性的逆属性等，如大于关系的逆关系是小于关系。,一个属性的逆属性,,,another property,
为了得到一个表达能力更强的本体语言，W3C提出了OWL语言扩展RDF（S），作为在语义网上表示本体的推荐语言。,OWL语言扩展RDF（S）,,,在语义网上表示本体的推荐语言,
为了得到一个表达能力更强的本体语言，W3C提出了OWL语言扩展RDF（S），作为在语义网上表示本体的推荐语言。,OWL语言扩展RDF（S）,,,在语义网上表示本体的推荐语言,
1.OWL的语言特征如图2-15所示，OWL1.0有OWL_Lite、OWL_DL、OWL_Full三个子语言，三个子语言的特征和使用限制举例如表2-4所示。,OWL_Lite,,,OWL轻型,
图2-15OWL_1.0的主要子语言表2-4三个子语言的特征和使用限制举例可以采用以下原则选择这些语言：●选择OWL_Lite还是OWL_DL主要取决于用户需要整个语言在多大程度上给出约束的可表达性；●选择OWL_DL还是OWL_Full主要取决于用户在多大程度上需要RDF的元模型机制，如定义类型的类型以及为类型赋予属性；●当使用OWL_Full而不是OWL_DL时，推理的支持可能不能工作，因为目前还没有完全支持OWL_Full的系统实现。,OWL_Lite,,,OWL_lite,
图2-15OWL_1.0的主要子语言表2-4三个子语言的特征和使用限制举例可以采用以下原则选择这些语言：●选择OWL_Lite还是OWL_DL主要取决于用户需要整个语言在多大程度上给出约束的可表达性；●选择OWL_DL还是OWL_Full主要取决于用户在多大程度上需要RDF的元模型机制，如定义类型的类型以及为类型赋予属性；●当使用OWL_Full而不是OWL_DL时，推理的支持可能不能工作，因为目前还没有完全支持OWL_Full的系统实现。,OWL_DL,,,OWL_DL,
图2-15OWL_1.0的主要子语言表2-4三个子语言的特征和使用限制举例可以采用以下原则选择这些语言：●选择OWL_Lite还是OWL_DL主要取决于用户需要整个语言在多大程度上给出约束的可表达性；●选择OWL_DL还是OWL_Full主要取决于用户在多大程度上需要RDF的元模型机制，如定义类型的类型以及为类型赋予属性；●当使用OWL_Full而不是OWL_DL时，推理的支持可能不能工作，因为目前还没有完全支持OWL_Full的系统实现。,OWL_Full,,,OWL_full,
OWL的子语言与RDF有以下关系。,OWL的子语言,,,RDF,
首先，OWL_Full可以看成是RDF的扩展；其次，OWL_Lite和OWL_Full可以看成是一个约束化的RDF的扩展；再次，所有的OWL文Full文档；最档（Lite、DL、Full）都是一个RDF文档，所有的RDF文档都是一个OWL后，只有一些RDF文档是一个合法的OWL_Lite和OWL_DL文档。,OWL_Full,,,RDF的扩展,
首先，OWL_Full可以看成是RDF的扩展；其次，OWL_Lite和OWL_Full可以看成是一个约束化的RDF的扩展；再次，所有的OWL文Full文档；最档（Lite、DL、Full）都是一个RDF文档，所有的RDF文档都是一个OWL后，只有一些RDF文档是一个合法的OWL_Lite和OWL_DL文档。,OWL_Full,,,RDF的扩展,
首先，OWL_Full可以看成是RDF的扩展；其次，OWL_Lite和OWL_Full可以看成是一个约束化的RDF的扩展；再次，所有的OWL文Full文档；最档（Lite、DL、Full）都是一个RDF文档，所有的RDF文档都是一个OWL后，只有一些RDF文档是一个合法的OWL_Lite和OWL_DL文档。,OWL_Lite,,,一个约束化的RDF的扩展,
首先，OWL_Full可以看成是RDF的扩展；其次，OWL_Lite和OWL_Full可以看成是一个约束化的RDF的扩展；再次，所有的OWL文Full文档；最档（Lite、DL、Full）都是一个RDF文档，所有的RDF文档都是一个OWL后，只有一些RDF文档是一个合法的OWL_Lite和OWL_DL文档。,OWL_Full文档,,,所有的OWL文档,
首先，OWL_Full可以看成是RDF的扩展；其次，OWL_Lite和OWL_Full可以看成是一个约束化的RDF的扩展；再次，所有的OWL文Full文档；最档（Lite、DL、Full）都是一个RDF文档，所有的RDF文档都是一个OWL后，只有一些RDF文档是一个合法的OWL_Lite和OWL_DL文档。,RDF文档,,,一个OWL文档,
2.OWL的重要词汇（1）等价性声明。,OWL的重要词汇,,,等价性声明,
2.OWL的重要词汇（1）等价性声明。,等价性声明,,,equivalence statement,
声明两个类、属性和实例是等价的。,三元组,,,声明两个类、属性和实例是等价的。,
如：exp：运动员owl:equivalentClass_exp：体育选手exp：获得_owl:equivalentProperty_exp：取得exp：运动员A_owl:sameIndividualAs_exp：小明以上三个三元组分别声明了两个类、两个属性以及两个个体是等价的，exp_是命名空间_http://www.example.org_的别称，命名空间是唯一识别的一套名字，用来避免名字冲突，在OWL中可以是一个URL。,exp,,,exp：运动员,
（2）属性传递性声明。,属性传递性声明,,,SPO三元组,
声明一个属性是传递关系。,传递关系,,,声明一个属性,
例如，exp:ancestor_rdf:typeowl:TransitiveProperty指的是exp:ancestor_是一个传递关系。,ancestor_rdf:typeowl:TransitiveProperty,,,属于传递关系,
例如，exp:ancestor_rdf:typeowl:TransitiveProperty指的是exp:ancestor_是一个传递关系。,exp:ancestor_rdf:type,,,owl:TransitiveProperty,
如果一个属性被声明为传递，则由a_exp:ancestor_b和b_exp:ancestor_c可以推出a_exp:ancestor_c。,a_exp,,,传递,
如果一个属性被声明为传递，则由a_exp:ancestor_b和b_exp:ancestor_c可以推出a_exp:ancestor_c。,a_exp,,,ancestor_b,
如果一个属性被声明为传递，则由a_exp:ancestor_b和b_exp:ancestor_c可以推出a_exp:ancestor_c。,b_exp,,,ancestor_c,
如果一个属性被声明为传递，则由a_exp:ancestor_b和b_exp:ancestor_c可以推出a_exp:ancestor_c。,a_exp,,,ancestor_c,
例如exp：小明exp:ancestor_exp：小林；exp：小林_exp:ancestor_exp：小志，根据上述声明，可以推出exp：小明exp:ancestor_exp：小志。,exp：小明,,,ancestor_exp：小林,
（3）属性互逆声明。,属性互逆声明,,,SPO三元组,
声明两个属性有互逆的关系。,互逆的关系,,,声明两个属性,
例如，exp:ancestor_owl:inverseOfexp:descendant指的是exp:ancestor和exp:descendant是互逆的。,exp:ancestor_owl:inverseOf,,,exp:descendant,
例如，exp:ancestor_owl:inverseOfexp:descendant指的是exp:ancestor和exp:descendant是互逆的。,等价,,,互逆,
如果exp：小明exp:ancestor_exp：小林，根据上述声明，可以推出exp：小林_exp:descendant_exp：小明。,exp：小明,,,ancestor_exp：小林,
（4）属性的函数性声明。,属性的函数性声明,,,SPO三元组,
声明一个属性是函数。,属性,,,函数,
例如，exp:hasMother_rdf:typeowl:FunctionalProperty指的是exp:hasMother是一个函数，即一个生物只能有一个母亲。,exp:hasMother_rdf:typeowl:FunctionalProperty,,,exp:是一个函数,
例如，exp:hasMother_rdf:typeowl:FunctionalProperty指的是exp:hasMother是一个函数，即一个生物只能有一个母亲。,exp:hasMother_rdf:type,,,owl:FunctionalProperty,
（5）属性的对称性声明。,属性的对称性声明,,,SPO三元组,
声明一个属性是对称的。,属性,,,对称的,
例如rdf:typeowl:SymmetricProperty指的是exp:friend是一个具有对称性的属性；如果exp：小明exp:friendexp：小林，根据上述声明，有exp：小林_exp:friend_exp：小明。,rdf:typeowl:SymmetricProperty,,,exp:friend,
例如rdf:typeowl:SymmetricProperty指的是exp:friend是一个具有对称性的属性；如果exp：小明exp:friendexp：小林，根据上述声明，有exp：小林_exp:friend_exp：小明。,等价,,,owl:SymmetricProperty,
exp:friend（6）属性的全称限定声明。,exp:friend,,,属性的全称限定声明。,
声明一个属性是全称限定。,属性,,,全称限定,
如：exp:Person_owl:allValuesFrom_exp:Womenexp:Person_owl:onProperty_exp:hasMother这个说明exp:hasMother_在主语属于exp:Person类的条件下，宾语的取值只能来自exp:Women类。,exp:hasMother,,,exp:Person_owl:allValuesFrom_exp:Women,
如：exp:Person_owl:allValuesFrom_exp:Womenexp:Person_owl:onProperty_exp:hasMother这个说明exp:hasMother_在主语属于exp:Person类的条件下，宾语的取值只能来自exp:Women类。,exp:hasMother,,,exp:AllValuesFrom,
如：exp:Person_owl:allValuesFrom_exp:Womenexp:Person_owl:onProperty_exp:hasMother这个说明exp:hasMother_在主语属于exp:Person类的条件下，宾语的取值只能来自exp:Women类。,exp:Person,,,exp:onProperty,
（7）属性的存在限定声明。,属性的存在限定声明。,,,SPO三元组,
声明一个属性是存在限定。,属性,,,存在限定,
如：exp:SemanticWebPaper_owl:someValuesFrom_exp:AAAIexp:SemanticWebPaper_owl:onProperty_exp:publishedIn这个说明exp:publishedIn在主语属于exp:SemanticWebPaper类的条件下，宾语的取值部分来自exp:AAAI类。,exp:SemanticWebPaper_owl:someValuesFrom_exp:AAAI,,,exp:AAAI,
上面的三元组相当于：关于语义网的论文部分发表在AAAI上。,关于语义网的论文,,,AAAI,
（8）属性的基数限定声明。,属性的基数限定声明。,,,SPO三元组,
声明一个属性的基数。,属性的基数,,,SPO,
如：exp:Person_owl:cardinality“1”^^xsd:integerexp:Person_owl:onProperty_exp:hasMother指的是exp:hasMother在主语属于exp:Person类的条件下，宾语的取值只能有一个，“1”的数据类型被声明为xsd:integer，这是基数约束，本质上属于属性的局部约束。,exp:hasMother,,,exp:Person_owl:cardinality“1”^^xsd:integer,
如：exp:Person_owl:cardinality“1”^^xsd:integerexp:Person_owl:onProperty_exp:hasMother指的是exp:hasMother在主语属于exp:Person类的条件下，宾语的取值只能有一个，“1”的数据类型被声明为xsd:integer，这是基数约束，本质上属于属性的局部约束。,基数约束,,,属于属性的局部约束,
（9）相交的类声明。,相交的类声明,,,SPO三元组,
声明一个类是等价于两个类相交。,类,,,两个类相交,
如：exp:Mother_owl:intersectionOf_tmp_tmp_rdf:type_rdfs:Collection_tmp_rdfs:member_exp:Person_tmp_rdfs:member_exp:HasChildren指tmp是临时资源，它是exp:Person和exp:HasChildren两个类的交集。,exp:Mother_owl,,,exp:intersectionOf,
如：exp:Mother_owl:intersectionOf_tmp_tmp_rdf:type_rdfs:Collection_tmp_rdfs:member_exp:Person_tmp_rdfs:member_exp:HasChildren指tmp是临时资源，它是exp:Person和exp:HasChildren两个类的交集。,exp:Mother_owl:intersectionOf_tmp_tmp,,,exp:Person和exp:HasChildren两个类的交集,
exp:HasChildren。,SPO三元组,,,属于概念/产品,
上述三元组说明rdfs:Collection类型，是一个容器，它的两个成员是exp:Person和exp:Mother是此外，OWL还有如表2-5所示词汇扩展。,rdfs:Collection,,,容器,
上述三元组说明rdfs:Collection类型，是一个容器，它的两个成员是exp:Person和exp:Mother是此外，OWL还有如表2-5所示词汇扩展。,rdfs:Collection,,,容器,
上述三元组说明rdfs:Collection类型，是一个容器，它的两个成员是exp:Person和exp:Mother是此外，OWL还有如表2-5所示词汇扩展。,exp:Person,,,人,
上述三元组说明rdfs:Collection类型，是一个容器，它的两个成员是exp:Person和exp:Mother是此外，OWL还有如表2-5所示词汇扩展。,exp:Mother,,,母亲,
表2-5OWL词汇扩展3.OWL版本目前，OWL2是OWL的最新版本，老的OWL版本也被称为OWL1。,OWL,,,OWL2,
表2-5OWL词汇扩展3.OWL版本目前，OWL2是OWL的最新版本，老的OWL版本也被称为OWL1。,OWL,,,OWL2,
表2-5OWL词汇扩展3.OWL版本目前，OWL2是OWL的最新版本，老的OWL版本也被称为OWL1。,OWL版本,,,OWL,
OWL2定义了一些OWL的子语言，通过限制语法使用，使得这些子语言能够更方便地实现，以及服务不同的应用。,OWL2,,,OWL的子语言,
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2,,,OWL_2_RL,
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2,,,OWL_2_QL,
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2,,,OWL_2_EL,
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2的子语言,,,OWL_2_RL,
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2的子语言,,,OWL_2_QL,
OWL2的三大子语言是OWL_2_RL、OWL_2_QL和OWL_2_EL。,OWL2的子语言,,,OWL_2_EL,
OWL_2_QL是OWL2子语言中最为简单的，QL代表Query_Language，所以OWL_2_QL是专为基于本体的查询设计的。,OWL_2_QL,,,专为基于本体的查询设计的,
OWL_2_QL是OWL2子语言中最为简单的，QL代表Query_Language，所以OWL_2_QL是专为基于本体的查询设计的。,OWL_2_QL,,,Query_Language,
它的查询复杂度是AC0，非常适合大规模处理。,Elasticsearch,,,AC0,
它是基于描述逻辑DL-Lite定义的。,OWL_2_QL,,,基于描述逻辑DL-Lite,
表2-6给出了OWL_2_QL词汇总结。,OWL_2_QL词汇总结,,,表2-6,
表2-6OWL_2_QL词汇总结另外一个能够提供多项式推理的OWL是OWL_2_EL。,OWL_2_QL,,,多项式推理的OWL,
表2-6OWL_2_QL词汇总结另外一个能够提供多项式推理的OWL是OWL_2_EL。,OWL_2_EL,,,OWL_2_EQ,
与OWL_2_QL不同，OWL_2_EL专为概念术语描述、本体的分类推理而设计，广泛应用在生物医疗领域，如临床医疗术语本体SNOMED_CT。,OWL_2_EL,,,概念术语描述本体推理,
OWL_2_EL的分类复杂度是Ptime-Complete，它是基于描述逻辑语言EL++定义的。,OWL_2_EL,,,Ptime-Complete,
